"ID","Title","Viewed","URL"
33254,"The Tutorial Is Too Hard","Chapter 163","https://www.manganato.gg/manga/the-tutorial-is-too-hard/chapter-163"
28094,"Sleeping Ranker","Chapter 106","https://www.manganato.gg/manga/sleeping-ranker/chapter-106"
28956,"Divine Delivery","Chapter 26","https://www.manganato.gg/manga/divine-delivery/chapter-26"
2230,"I Rely On My Invincibility To Deal Tons Of Damage Passively!","Chapter 62","https://www.manganato.gg/manga/i-rely-on-my-invincibility-to-deal-tons-of-damage-passively/chapter-62"
35868,"I Reincarnated As The Crazed Heir","Chapter 109","https://www.manganato.gg/manga/i-reincarnated-as-the-crazed-heir/chapter-109"
35347,"I Became An S-Rank Hunter With The Demon Lord App","Chapter 42","https://www.manganato.gg/manga/i-became-an-s-rank-hunter-with-the-demon-lord-app/chapter-42"
42010,"Ranker's Return (Remake)","Chapter 101","https://www.manganato.gg/manga/ranker-s-return-remake/chapter-101"
40946,"My School Life Pretending To Be A Worthless Person","Chapter 58","https://www.manganato.gg/manga/my-school-life-pretending-to-be-a-worthless-person/chapter-58"
44912,"Regressor Instruction Manual","Chapter 78","https://www.manganato.gg/manga/regressor-instruction-manual/chapter-78"
205,"Talent-Swallowing Magician","Chapter 96","https://www.manganato.gg/manga/talent-swallowing-magician/chapter-96"
43174,"Eleceed","Chapter 131","https://www.manganato.gg/manga/eleceed/chapter-131"
37499,"My Exclusive Tower Guide","Chapter 16","https://www.manganato.gg/manga/my-exclusive-tower-guide/chapter-16"
37083,"Leveling With The Gods","Chapter 97","https://www.manganato.gg/manga/leveling-with-the-gods/chapter-97"
7328,"Global Martial Arts","Chapter 175","https://www.manganato.gg/manga/global-martial-arts/chapter-175"
30602,"Spare Me, Great Lord!","Chapter 535","https://www.manganato.gg/manga/spare-me-great-lord/chapter-535"
33370,"Infinite Mage","Chapter 80","https://www.manganato.gg/manga/infinite-mage/chapter-80"
31264,"Academy’s Undercover Professor","Chapter 51","https://www.manganato.gg/manga/academys-undercover-professor/chapter-51"
33458,"Artifact Reading Appraiser","Chapter 42","https://www.manganato.gg/manga/artifact-reading-appraiser/chapter-42"
1281,"I’ll Resign And Have A Fresh Start In This World","Chapter 89","https://www.manganato.gg/manga/ill-resign-and-have-a-fresh-start-in-this-world/chapter-89"
44331,"Villain To Kill","Chapter 101","https://www.manganato.gg/manga/villain-to-kill/chapter-101"
5493,"I Obtained A Mythic Item","Chapter 90.4","https://www.manganato.gg/manga/i-obtained-a-mythic-item/chapter-90-4"
37485,"Boundless Necromancer","Chapter 75","https://www.manganato.gg/manga/boundless-necromancer/chapter-75"
36674,"The People On Earth Are Too Ferocious","Chapter 106","https://www.manganato.gg/manga/the-people-on-earth-are-too-ferocious/chapter-106"
38823,"Apocalyptic Chef Awakening","Chapter 62","https://www.manganato.gg/manga/apocalyptic-chef-awakening/chapter-62"
28045,"Reborn As The Heavenly Demon","Chapter 27","https://www.manganato.gg/manga/reborn-as-the-heavenly-demon/chapter-27"
43222,"Necromancer's Evolutionary Traits","Chapter 76","https://www.manganato.gg/manga/necromancer-s-evolutionary-traits/chapter-76"
713,"I Am The Precious Daughter Of The Greatest Villain In The Fantasy World","Chapter 75.5","https://www.manganato.gg/manga/i-am-the-precious-daughter-of-the-greatest-villain-in-the-fantasy-world/chapter-75-5"
33891,"The Reincarnation Of The Forbidden Archmage","Chapter 58","https://www.manganato.gg/manga/the-reincarnation-of-the-forbidden-archmage/chapter-58"
689,"Demonic Evolution","Chapter 44","https://www.manganato.gg/manga/demonic-evolution/chapter-44"
41088,"The Knight King Who Returned With A God","Chapter 66","https://www.manganato.gg/manga/the-knight-king-who-returned-with-a-god/chapter-66"
33740,"World’s Greatest Senior Disciple","Chapter 47","https://www.manganato.gg/manga/worlds-greatest-senior-disciple/chapter-47"
44555,"Isekai Ni Tobasareta Ossan Wa Doko E Iku?","Chapter 43","https://www.manganato.gg/manga/isekai-ni-tobasareta-ossan-wa-doko-e-iku/chapter-43"
44416,"I had a hard time in my previous life, so God came to make it up to me","Chapter 22","https://www.manganato.gg/manga/i-had-a-hard-time-in-my-previous-life-so-god-came-to-make-it-up-to-me/chapter-22"
44005,"Absolute Sword Sense","Chapter 83","https://www.manganato.gg/manga/absolute-sword-sense/chapter-83"
40099,"Tales Of A Shinning Sword","Chapter 57","https://www.manganato.gg/manga/tales-of-a-shinning-sword/chapter-57"
30598,"Mookhyang - Dark Lady","Chapter 60","https://www.manganato.gg/manga/mookhyang-dark-lady/chapter-60"
