hid,title,type,rating,read,last_read,synonyms,mal,anilist,mangaupdates
rGyLBxHZ,"I, The Invincible Villain Master With My Apprentices",Reading,,32,2025-19-06,"反派师尊的我带着徒弟们天下无敌,Fǎnpài Shī Zūn De Wǒ Dàizhe Túdìmen Tiānxià Wúdí,Fanpai Shi Zun De Wo Daizhe Tudimen Tianxia Wudi,My Villainous Master Brings Along the Peerless Apprentices,Ben, Çıraklarımla Birlikte Yenilmez Kötü Ustayım,Jag, den oövervinnelige elaka Mästaren och mina lärlingar,I, the Invincible Villain Master, Lead My Peerless Apprentices,Nhân Vật Phản Diện Sư Tôn Ta Mang Theo Các Đồ Đệ Vô Địch Thiên Hạ,Nhân Vật Sư Tôn Phản Diện Của Ta Dẫn Dắt Toàn Đồ Đệ Thiên Hạ Vô Địch,Vai Ác Sư Tôn Mang Theo Các Đồ Đệ Vô Địch Thiên Hạ,An Evil Master and His Disciples,Yo, el Maestro Malvado, Llevo a mis Discípulas a ser Invencibles en Todo el Mundo",,https://anilist.co/manga/154726,https://www.mangaupdates.com/series/197601
K7iGhJ0L,"Osake no Tame ni Otome Game Setting wo Buchikowashita Kekka, Akuyaku Reijou ga Cheat Reijou ni Narimashita",Reading,,42,2025-19-06,"As a Result of Breaking an Otome Game, the Villainess Young Lady Becomes a Cheat!,お酒のために乙女ゲー設定をぶち壊した結果、悪役令嬢がチート令嬢になりました,Akibat merusak setting otome game demi sake, putri villain menjadi gadis penipu,Como resultado de romper un juego otome, ¡La joven dama villana se convierte en una tramposa!,술을 위해 여성향 게임 설정을 비튼 결과, 악역 영애가 치트 영애가 되었습니다,Osake no Tame ni Otome Game Setting o Buchikowashita Kekka, Akuyaku Reijou ga Cheat Reijou ni Narimashita,Because of Her Love for Sake, the Otome Game Setting was Broken and the Villainous Noblewoman Became the Noblewoman with Cheats",https://myanimelist.net/manga/129243,https://anilist.co/manga/122969,https://www.mangaupdates.com/series/165592
_pMvLkaE,Auto Hunting With My Clones,Reading,,99,2025-19-06,"Auto-Hunting With Clones,분신으로 자동사냥,Bunsin-eulo Jadongsanyang,Авто-охота с клонами,Auto Hunting as a Clone,Auto-Hunting With Clones,Bunsin-eulo Jadongsanyang,Cazando automáticamente con mis clones,Cazando con mi clones,Авто-охота с клонами,แยกร่าง ล่าอัตโนมัติ,分身でオートバトル,分身狩獵,用分身自动狩猎,분신으로 자동사냥,分身でオートバトル,分身狩獵,用分身自动狩猎,แยกร่าง ล่าอัตโนมัติ,Cazando automáticamente con mis clones,Cazando con mi clones",https://myanimelist.net/manga/153965,https://anilist.co/manga/155950,https://www.mangaupdates.com/series/kd3cp61
1ojKMQ8c,The Baengri Clan's Unwanted Granddaughter,Reading,,87,2025-11-10,"名門一族の嫌われ娘になりました,成了武林世家受歧视的孙女,The Despised Granddaughter of the Murim Clan,أصبحت الحفيدة المحتقرة لعائلة فنون القتال القوية,Презираемая внучка великого рода эпохи Мурим,Murim'in kör talihli torunu,Me convertí en la nieta despreciada de la poderosa familia de artes marciales,Me convertí en la nieta despreciada del clan murim,Trở thành cô cháu gái bị khinh miệt của gia tộc võ lâm,ฉันคือหลานสาวตระกูลจอมยุทธ์ผู้ถูกเหยียดหยาม,Yeon l'indésirée,무림세가 천대받는 손녀딸이 되었다,I Became the Despised Granddaughter of the Powerful Murim Family,I Became the Despised Granddaughter of the Murim Family,I Became the Despised Granddaughter of the Murim Clan,Murimsega Cheondaebanneun Sonnyeo Ttari Doeeotda,I Became the Despised Granddaughter of the Powerful Martial Arts Family,Небажана внучка клану Бенґрі,Murim'in bedbaht torunu,무림세가 천대받는 손녀 딸이 되었다,Als die verachtete Enkelin in einem Wuxia zu neuem Leben erwacht,Презираемая внучка эпохи Мурим,武林世家的失宠小孙女",https://myanimelist.net/manga/155284,https://anilist.co/manga/161715,https://www.mangaupdates.com/series/gwp8xd9
TjV9MRgw,Mercenary Enrollment,Reading,,134,2025-20-06,"少年佣兵,입학용병,พี่ชายสายบอดี้การ์ด,入學傭兵,Tentara Menyamar Jadi Anak SMA,Ipagyongbyeong,Teenage Mercenary,Söldnereinschreibung,High School Mercenary,Mercenario adolescente,入学傭兵,High School Soldier,Mercenário Adolescente,Liseli Paralı Askerin Macerası,Bạn Học Của Tôi Là Lính Đánh Thuê",https://myanimelist.net/manga/146966,https://anilist.co/manga/126297,https://www.mangaupdates.com/series/173705
HUIcQdn4,The Hero Returns,Reading,,79,2025-20-06,"Hero, Returns,영웅, 회귀하다,Герой возвращается,Hero Returns,英雄、回帰する,英雄回帰する,英雄归来,重新覺醒的英雄,Heroe, regresa,Yeongung, Hoegwihada,El héroe regresa,عودة البطل",https://myanimelist.net/manga/150455,https://anilist.co/manga/146017,https://www.mangaupdates.com/series/197285
HRi7wJiD,The Academy's Genius Swordsman,Reading,,80,2025-20-06,"아카데미의 천재칼잡이,Academy's Genius Swordmaster,Academy's Genius Swordsman,Der geniale Schwertkämpfer der Akademie,L'épéiste prodige de l'académie,Academy Genius Swordsman,學院天才劍客,El maestro genio de la espada de la academia,El maestro de la espada genio de la academia,El increíble maestro de la espada,アカデミーの天才剣士,Academy Cheonjaekaljabi,Academy Genius Swordsman,皇家学院的天才剑豪",https://myanimelist.net/manga/162700,https://anilist.co/manga/167649,https://www.mangaupdates.com/series/iq7rqvq
DcY1w0aF,Masters of Lightning Knives,Reading,,168,2025-20-06,"Hiraito,El innombrable,Grado de relámpago,Hiraitou,Lightning Sword,飞雷刀,비뢰도,Lightning Swords,飛雷刀,Меч разящего грома,Phi Lôi Đạo,Lightning Degree,Mestre das Lâminas Relâmpago,Biroe-do,El innombrable,Grado de relámpago,Hiraito,Hiraitou,Lightning Sword,飞雷刀",https://myanimelist.net/manga/147455,https://anilist.co/manga/127848,https://www.mangaupdates.com/series/161185
JAUq8sTP,Sunyu of the Shadowless,Reading,,36,2025-21-06,"Sonnyu,The Great Master,대사형 선유,The Great Master Sunyoo,Sonnyu, the Great Master,大師兄 선유,大師兄善柔",,https://anilist.co/manga/146155,https://www.mangaupdates.com/series/192990
CNZzy2vP,I Became a Swordsmanship Instructor at the Academy,Reading,,17,2025-25-24,"아카데미의 검술 강사가 되었다,The Academy’s New Swordmaster",,,https://www.mangaupdates.com/series/pebv8g4
