hid,title,type,rating,read,last_read,synonyms,mal,anilist,mangaupdates
NLQxbB6l,World's Strongest Survivor,Reading,,12,2025-16-13,"서바이벌로 세계 최강,Kanun Tanımaz Oyuncu,Survival-ro Segye Choegang",,https://anilist.co/manga/191819,https://www.mangaupdates.com/series/k0k2k3h
iekB_A1k,Dungeon Porter,Reading,,12,2025-04-28,던전짐꾼,,https://anilist.co/manga/193904,https://www.mangaupdates.com/series/iqzwdiy
FxjT6KQk,The Chick-Class Hunter Is Filial!,Reading,,20,2025-26-28,"Byeongariban Hunter-neun Hyodo Jung!,The Chick-Class Hunter Is Being Filial!,A Caçadora Mirim Está em Busca de Guardiões,Byeongariban Heonteoneun Hyodo Jung!,병아리반 헌터는 효도 중!,The Chick Hunter Is Being Filial!",https://myanimelist.net/manga/178587,https://anilist.co/manga/187452,https://www.mangaupdates.com/series/sqw7wxk
rLdOCP5x,Master of All Skills,Reading,,,0000:00:00,"올 스킬 마스터,All Skill Master,Skill Collector: The Ultimate Skill Thief",,https://anilist.co/manga/191841,https://www.mangaupdates.com/series/hxkcj86
WPZj0wx1,My Marriage to Saneka,Reading,,7,2025-05-28,"Pernikahanku dengan Saneka,Saneka no Yomeiri,サネカの嫁入り",https://myanimelist.net/manga/178046,https://anilist.co/manga/186514,https://www.mangaupdates.com/series/rdvj7ed
E4pymaNb,Hero Killer,Reading,,206,2025-11-26,"히어로 킬러,La asesina de héroes,Zabójca bohaterów,La tueuse d'héros,Heldentöter,Tueur des héros,Вбивця героїв,Убийца героев,英雄殺手,Hero Killer (Beolkkul),ヒーローキラー",https://myanimelist.net/manga/147290,https://anilist.co/manga/132093,https://www.mangaupdates.com/series/178352
yct8Hcak,Eiyuu to Kenja no Tensei Kon,Reading,,,0000:00:00,"英雄と賢者の転生婚,The Hero and the Sage, Reincarnated and Engaged,The Reincarnated Marriage of a Hero and a Sage,Eiyuu to Kenja no Tensei Kon: Katsute no Koutekishu to Kon'yakushite Saikyou Fuufu ni Narimashita,The Reincarnated Marriage of a Hero and Sage: After Becoming Engaged to a Former Rival, We Became the Strongest Couple,Reencarnado • O herói se casa com o sábio ~Depois de ficar noivo de um ex-rival, nos tornamos o casal mais forte~,英雄と賢者の転生婚　～かつての好敵手と婚約して最強夫婦になりました～,The Reincarnated Marriage of a Hero and a Sage: After Becoming Engaged to a Former Rival, We Became the Strongest Couple,Reincarnated - The Hero Marries the Sage ~After Becoming Engaged to a Former Rival, We Became the Strongest Couple~",https://myanimelist.net/manga/156333,https://anilist.co/manga/154222,https://www.mangaupdates.com/series/djrx5ki
hUB7QLsl,The Coppersmith's Bride,Reading,,32,2025-49-25,"Cuprum no Hanayome,クプルムの花嫁,Медная невеста,Мідна наречена,A Noiva de Cuprum,Nàng dâu thợ gò đồng,Cuprum's Bride,쿠프룸의 신부",https://myanimelist.net/manga/127084,https://anilist.co/manga/117675,https://www.mangaupdates.com/series/164975
iyKv0NYn,Night of the Soulless Heathens,Reading,,22,2025-11-26,"L'héritage éclipsait du messager sans âme,Le legs éclipsait du messager sans âme,Noite dos hereges sem alma,Nuit des sauvages sans âme,魂のない不敬者の夜,L'héritage éclipsait du messager sans âme,Le legs éclipsait du messager sans âme,Noite dos hereges sem alma,Nuit des sauvages sans âme,The Shadowed Legacy of the Soulless Messenger,Night of the Soulless Heathens,영혼 없는 불경자의 밤",,https://anilist.co/manga/186558,https://www.mangaupdates.com/series/tqbaeng
mE4W3OYP,Kunigei - Okuni University Art Department Film Program,Reading,,28,2025-32-08,"クニゲイ～大國大学藝術学部映画学科～,Kunigei ~Ookuni Daigaku Geijutsu Gakubu Eiga Gakka~,クニゲイ,Kunigei,Kunigei ~Ōkuni Daigaku Geijutsu Gakubu Eiga Gakka~",https://myanimelist.net/manga/170517,https://anilist.co/manga/177453,https://www.mangaupdates.com/series/pwu8v5e
drfMvnT9,Girl Meets Rock!,Reading,,53.5,2025-59-09,"ふつうの軽音部,Девушка встречает Рок,Garota conhece o rock!,¡Chica descubre el rock!,An Ordinary Light Music Club,Futsū no Keion-bu,Futsu no Keionbu,La fille qui découvre le rock !,Het meisje dat rock ontdekte!,Futsuu no Keionbu,Futsu no Keionbu,Futsū no Keion-bu",https://myanimelist.net/manga/166080,https://anilist.co/manga/173343,https://www.mangaupdates.com/series/6efvamt
Qgj1qDgy,My Mom's a Superstar,Reading,,37.5,2025-19-21,"我的妈妈是大明星,我的媽媽是大明星,Wǒ de māmā shì dà míngxīng,My Mom's a Superstar,Ma Mère est une Superstar,Moja mama jest super gwiazdą,Wo De Mama Shi Da Ming Xing",,,https://www.mangaupdates.com/series/193056
3wK5Bl9N,Girl Crush,Reading,,74,2025-19-21,"ガールクラッシュ,Girl.. Crush",https://myanimelist.net/manga/142097,https://anilist.co/manga/128406,https://www.mangaupdates.com/series/176262
FiuNzI9n,Tomehane!,Reading,,108,2025-52-19,"Tome wa Hane! Suzusato Koukou Shodoubu,Tomehane! Suzuri Kōkō Shodōbu,Tomehane! Suzuri Koukou Shodoubu,Tomehanetsu! Suzusato,とめはねっ!,とめはねっ! 鈴里高校書道部,とめはねっ！−鈴里高校書道部−,Stopped Lines & Upward-Turned Strokes! Bell Village High School Calligraphy Club,Tomehane! Suzuri Koko Shodobu",https://myanimelist.net/manga/14901,https://anilist.co/manga/44901,https://www.mangaupdates.com/series/14286
YVKGcgEi,Akane-banashi,Reading,,143,2025-52-19,"Akane Story,あかね噺,El relato de Akane,Сказание об Аканэ,Akane-Banashi,Le rakugo d'Akane,Akane-banashi,Akane-banashi,อาคาเนะ พลิกตำนานวงการราคุโกะ,아카네 이야기,आकाने को कथा,Tales of Akane,Akane Banashi,Akanebanashi",https://myanimelist.net/manga/144034,https://anilist.co/manga/144866,https://www.mangaupdates.com/series/196519
2FjtedUu,Street Workout,Reading,,47,2025-20-21,스트릿 워크아웃,https://myanimelist.net/manga/154148,https://anilist.co/manga/153223,https://www.mangaupdates.com/series/irsut0z
dT_4w10q,Let's Play,Reading,,177,2025-20-21,Zagrajmy,,,
peKGA_Cj,Hajirau Kimi ga Mitainda,Reading,,76.1,2025-01-19,"부끄러워하는 널 보고 싶어,恥じらう君が見たいんだ,เทคนี้ที่ผมถ่ายเป็นเรื่องน่าอายที่เธอไม่คัท,想看妳露出羞恥的模樣,Quiero verte avergonzada,I Want to See You Embarrassed,露出导演,Хочу увидеть твоё смущение.,เทคนี้ที่ผมถ่าย เป็นเรื่องน่าอายที่เธอไม่คัท,I Want To See U Shy",https://myanimelist.net/manga/134339,https://anilist.co/manga/129225,https://www.mangaupdates.com/series/178504
ovveRqMO,Monochrome Days,Reading,,18.5,2025-22-04,"Monochrome no Futari,モノクロのふたり,Monokuro no Futari,Monochro no Futari,Monochrome Duo",https://myanimelist.net/manga/175237,https://anilist.co/manga/182911,https://www.mangaupdates.com/series/xjm22bv
qmdCCJUQ,The Martial God Who Levels Up,Reading,,13,2025-51-19,"레벨업하는 무신님,The God of War is Leveling Up",https://myanimelist.net/manga/180200,,https://www.mangaupdates.com/series/ygox2fg
E33Swavd,I'm Going to Wipe Out This Country,Reading,,22,2025-52-19,"I Will Raze This Land,Voy a aniquilar esta tierra,I'm Going to Destroy This Country,이 나라를 없앨 예정인데요,I'm Gonna Annihilate This Land,Voy a aniquilar esta tierra,聖者ですが、この国を滅ぼします,Holy Hella's Ultimate End",,https://anilist.co/manga/187601,https://www.mangaupdates.com/series/rnp892s
a8lx3LOR,The Spy Life in the Demonic Sect,Reading,,12,2025-29-06,"첩자의 마교생활,A Spy's Survival in the Demonic Cult,密探的魔教生活,間諜的魔教日常",https://myanimelist.net/manga/178591,https://anilist.co/manga/196407,https://www.mangaupdates.com/series/w5r9kco
FE644m3D,The Regressed Doctor Just Wanted to Live Quietly,Reading,,28,2025-43-11,"회귀 닥터는 조용히 살고 싶었다,The Regressed Doctor Wants to Live Quietly,회귀 닥터는 조용히 살고 싶었다",https://myanimelist.net/manga/179096,https://anilist.co/manga/188731,https://www.mangaupdates.com/series/za3zp3s
D4cyK3vt,Regressed Genius Creates Mythic Items,Reading,,,0000:00:00,"회귀한 천재 플레이어의 신화급 무기창조,The Regressed Genius Player's Legendary Weapon Creation,The Mythical Weapon Creation of the Regressed Genius Player,The Mythical Weapon Creation of the Regressed Genius Player,The Regressed Genius Player's Legendary Weapon Creation,回帰したら天才錬金術師,회귀한 천재 플레이어의 신화급 무기창조",https://myanimelist.net/manga/178371,https://anilist.co/manga/188800,https://www.mangaupdates.com/series/lert62h
s_XGevKh,Mount Hua Sect's Genius Phantom Swordsman,Reading,,17,2025-01-19,"独剑复残门,華山劍鬼,กระบี่มารแห่งฮวาซาน,独剑复残门,華山劍鬼,El genio espadachín fantasma de la Secta del Monte Hua,화산파 천재검귀,The Genius Swordsman of Mount Hua,Hwasanpa Cheonjaegeomgwi",https://myanimelist.net/manga/178330,https://anilist.co/manga/188155,https://www.mangaupdates.com/series/5h2zldu
aizwuC7x,Somebody Stop the Pope,Reading,,29,2025-52-19,우리 교황님 좀 말려주세요,,,
45kTvDpu,God's Scalpel,Reading,,21,2025-27-25,"신의 메스,The Heavenly Scalpel,God's Surgical Knife",https://myanimelist.net/manga/178604,,https://www.mangaupdates.com/series/vnexfe3
sPLoqQS9,Black Fox: Sword Master of Mount Kunlun,Reading,,30,2025-18-03,"검은 여우 독심호리:곤륜검선 백병지주,The Legend of the Black Fox Master of Mount Kunlun's Sword,Black Fox With a Poisonous Heart: Kunlun Sword Master's Hundred Weapons,Hắc Bạch Hồ Ly Độc Tâm : Côn Luân Kiếm Tuyến Bạch Bệnh Chi Chủ,Hắc Bạch Hồ Ly Độc Tâm Côn Luân Kiếm Tuyến Bạch Bệnh Chi Chủ",https://myanimelist.net/manga/179933,https://anilist.co/manga/192395,https://www.mangaupdates.com/series/blzxw4f
i3U99GMc,Frozen Warrior,Reading,,13,2025-30-17,"นักรบแช่แข็ง,The Frostbound Warrior,냉동무사,Kesatria Es,นักรบแช่แข็ง,冰影戰魂",https://myanimelist.net/manga/178736,https://anilist.co/manga/188462,https://www.mangaupdates.com/series/bihgk7q
CKY0v7s2,The Genius Mage Who Uses His Fists,Reading,,17,2025-26-05,"The Genius Magician Who Uses His Fistt,주먹 쓰는 천재 마법사,Genius Mage Who Uses Fists,The Genius Mage Who Fights With Their Fists,Genius Mage Who Uses Fists,Jumeok Sseuneun Cheonjae Mabeopsa,The Genius Magician Who Uses His Fist,주먹 쓰는 천재 마법사,The Fistfighting Genius Mage,The Genius Magician Who Uses His Fist,Jumeok Sseuneun Cheonjae Mabeopsa",https://myanimelist.net/manga/180267,https://anilist.co/manga/188691,https://www.mangaupdates.com/series/h97av88
OQEIU6Dq,The Top Ranker's Aspiring Writer Life Manual,Reading,,15,2025-25-25,"The SSS-Ranker Who Wrote His Own Legend,탑랭커의 작가지망생활백서,The Top Ranker's Guide to Aspiring Writer Life,The Top Ranker's Guide to an Aspiring Writer Life,Panduan Calon Penulis dari Sang Hunter Legendaris,The Top Ranker's Guide to Aspiring Writer Life,Top Ranker’s Life Guide for Aspiring Writers,The Top Ranker's Guide to an Aspiring Writer Life",https://myanimelist.net/manga/179213,https://anilist.co/manga/188689,https://www.mangaupdates.com/series/6z1jfkc
sucqn3YS,Fated to Be Loved by Villains,Reading,,20,2025-43-27,"Destinado a ser amado pelas Vilãs,Destinado a ser amado por las Villanas,Destined to Be Loved by the Villain,Destined to Be Loved by Villainesses,モブだけど悪党美女キャラにモテまくる,命中註定被反派愛上,Destinado a ser amado pelas Vilãs,Destinado a ser amado por las Villanas,Destinado a ser Amado por Villanas,악당에게 사랑받는 운명입니다,É seu destino ser amado pelos vilões.,Destinado a ser amado pelas Vilãs,Destinado a ser amado por las Villanas,命中註定被反派愛上,Định Mệnh Được Ác Nhân Yêu Thích,Số Phận An Bài Cho Các Nữ Phản Diện Yêu Tôi",https://myanimelist.net/manga/179469,https://anilist.co/manga/187140,https://www.mangaupdates.com/series/tcw9mme
zlMzLg6j,Black Haze (2025),Reading,,16,2025-00-27,"블랙 헤이즈,مه سیاه,Черная мгла,Schwarzer Dunst,Juoda migla,Brume noire,Bruma negra,ضباب اسود,블랙 헤이즈 (2025)",,https://anilist.co/manga/187169,https://www.mangaupdates.com/series/ixfcgfo
HfD0ASv0,The Genius Prismatic Mage,Reading,,24,2025-40-28,"The Genius Magician who Sees the Rainbow,Genius Prismatic Mage,Mago prismático genio,무지개를 보는 천재마법사,看見彩虹的天才魔法師",,https://anilist.co/manga/187172,https://www.mangaupdates.com/series/47rt5pa
zMzGUNaC,"Isekai Shounin - Skill <Isekai Tokou> wo Kushi Shite, Yuuyuu Jiteki na Okanemochi Slow Life wo Okurimasu",Reading,,7,2025-19-09,"異世界商人　スキル＜異世界渡航＞を駆使して、悠々自適なお金持ちスローライフを送ります（コミック）,Isekai Shounin - Skill <Isekai Tokou> o Kushi Shite, Yuuyuu Jiteki na Okanemochi Slow Life o Okurimasu,Isekai Merchant: Living a Rich Slow Life with <Isekai Travel>,Another World Merchant: Using the Skill ""Another World Travel"" to Live a Relaxed and Rich Slow Life,Isekai Shonin,Isekai Shōnin Skill <Isekai Tokō> o Kushi Shite, Yūyū Jiteki na Okanemochi Slow Life o Okurimasu,Isekai Merchant: Living a Rich Slow Life With <Isekai Travel>",https://myanimelist.net/manga/180150,https://anilist.co/manga/181222,https://www.mangaupdates.com/series/a2ueuoy
yuQ4Crow,Blue Period,Reading,,,0000:00:00,"Көк Кезең,Голубой период,الحقبة الزرقاء,ブルーピリオド,蓝色时期,Mavi Dönem,O Período Azul,Buru Piriodo,Блакитний період,دوره ی آبی,नीलो अवधि,藍色時期,النقطة الزرقاء,Blue Period,Blue Period.",https://myanimelist.net/manga/107931,https://anilist.co/manga/107237,https://www.mangaupdates.com/series/143526
NzsyWfFC,Einen Koyou wa Kanou deshou ka,Reading,,,0000:00:00,"永年雇用は可能でしょうか ~無愛想無口な魔法使いと始める再就職ライフ~,永年雇用は可能でしょうか,Einen Koyou wa Kanou deshou ka: Buaisou Mukuchi na Mahoutsukai to Hajimeru Saishuushoku Life,Re-employment Life With an Unsociable Untalkative Magician,Is Long-Term Employment Possible - My Reemployment Life With an Unsociable Untalkative Magician,Is Long-Term Employment Possible ~ My Reemployment Life With an Unsociable Untalkative Magician,Einen Koyou wa Kanou deshou ka - Buaisou Mukuchi na Mahoutsukai to Hajimeru Saishuushoku Life,My Reemployment Life With an Unsociable Untalkative Magician,Reemployment Life With an Unsociable Untalkative Magician",https://myanimelist.net/manga/155771,https://anilist.co/manga/152218,https://www.mangaupdates.com/series/wgu9yuv
0hmHnhWU,Flying Witch,Reading,,,0000:00:00,"جادوگر پرنده,飛翔的魔女,飞翔的魔女,플라잉 위치,Полет Ведьмы,ふらいんぐうぃっち,Bruja voladora,La strega volante,Uçan Cadı,Летающая ведьма,วันธรรมดาของแม่มดว้าวุ่น",https://myanimelist.net/manga/46258,https://anilist.co/manga/76258,https://www.mangaupdates.com/series/89687
0FiLFYD1,Sousou no Frieren,Reading,,,0000:00:00,"Фрирен, провожающая в последний путь,葬送のフリーレン,คำอธิษฐานในวันที่จากลา Frieren,葬送的芙莉蓮,장송의 프리렌,Frieren,Frieren at the Funeral,Frieren: Remnants Of The Departed,Frieren: Más allá del final,Frieren: Más allá del fin del viaje,Φρίρεν: Πέρα από το Τέλος του Ταξιδιού,Frieren: Nach dem Ende der Reise,Frieren: Beyond Journey's End,Frieren - Nach dem Ende der Reise,Frieren - Pháp sư tiễn táng,Pháp Sư Tiễn Táng Frieren,Funeral Frieren,Frieren Cenazede,Провожающая в последний путь Фрирен,अन्त्येष्टिमा फ्रिरेन,คำอธิษฐานในวันที่จากลา FRIEREN (SIC),葬送的芙莉莲,葬送者芙莉莲,Frieren e a Jornada para o Além,Frieren. U kresu drogi,Frieren: Beyond Journey’s End,Проводжальниця Фрірен,Frieren Who Sees Off The Dead,Frieren: After ""The End"" (Indonesian)",https://myanimelist.net/manga/126287,https://anilist.co/manga/118586,https://www.mangaupdates.com/series/165944
1oUoGDaQ,Keep Your Hands Off Eizouken!,Reading,,,0000:00:00,"別對映像研出手！,别对映像研出手！,映像研には手を出すな！,Eizōken ni wa Te o Dasu na!,Eizouken ni wa Te wo Dasu na!,Eizouken ni wa Te o Dasu na!,Eizōken ni wa Te o Dasu na!",https://myanimelist.net/manga/112087,https://anilist.co/manga/109319,https://www.mangaupdates.com/series/146742
mFevVuCd,Dungeon-tou de Yadoya wo Yarou!: Souzou Mahou wo Moratta Ore no Hosoude Hanjouki,Reading,,,0000:00:00,"在迷宮島上經營旅館吧！得到創造魔法之後我的成長記,ダンジョン島で宿屋をやろう! 創造魔法を貰った俺の細腕繁盛記,在迷宫岛上经营旅馆吧！得到创造魔法之后我的成长记,던전 섬에서 여관을 하자! 창조 마법을 받은 나의 가냘픈 번성기,ダンジョン島で宿屋をやろう！創造魔法を貰った俺の細腕繁盛記,Dungeon Tou de Yadoya o Yarou! Souzou Mahou o Moratta Ore no Hosoude Hanjouki,Let’s run an inn on Dungeon Island! A Story of my Weak Selfs Success after receiving Creation Magic,Dungeon Shima de Yadoya o Yarou!: Souzou Mahou o Moratta Ore no Hosoude Hanjouki",https://myanimelist.net/manga/146186,https://anilist.co/manga/148026,https://www.mangaupdates.com/series/176602
n3NZ8pvF,Artifact-Devouring Player,Reading,,,0000:00:00,"아티팩트 먹는 플레이어,神器吞噬者,아티팩트 먹는 플레이어",,,https://www.mangaupdates.com/series/dy29umq
sx78chn9,"Joban de Shinu Saikyou no Sub Chara ni Tensei Shita no de, Game Chishiki de Musou Suru",Reading,,5,2025-02-01,"Since I Was Reincarnated Into the Strongest Side Character Who Dies Early On, I'll Use My Game Knowledge to Become Unrivaled,Since I was Reincarnated into the Strongest Side Character Who Dies Early on, I'll Use My Game Knowledge to Become Unrivaled,序盤で死ぬ最強のサブキャラに転生したので、ゲーム知識で無双する",,https://anilist.co/manga/186897,https://www.mangaupdates.com/series/vnaq73p
HZ4ReyOl,Medalist,Reading,,,0000:00:00,"メダリスト,舞冰的祈愿,舞冰的祈願,金牌得主,Медалистка,MEDALIST ทอฝันบนลานสเกต,Medarisuto",https://myanimelist.net/manga/129621,https://anilist.co/manga/118371,https://www.mangaupdates.com/series/167621
vur75XDF,Saving the Doomed Idols with My Touch,Reading,,,0000:00:00,"Salvando os Ídolos Condenados com o Meu Toque,Sauver les idoles condamnées avec mon toucher,Saving the Doomed Idols With My Touch,Tôi Giải Cứu Nhóm Idol Vô Danh Bằng Một Cú Chạm,最強レシピで作ります！＃伝説のアイドル,靠手艺红出圈的糊团爱豆,Feeding the Lives of Failing Idols,Save a Failed Idol's Life,손맛으로 구제하는 망돌 인생,Salvando a Vida de um Idol Flopado,Saving the Doomed Idols With My Touch,最強レシピで作ります！＃伝説のアイドル,靠手艺红出圈的糊团爱豆,Feeding the Lives of Failing Idols",https://myanimelist.net/manga/176242,https://anilist.co/manga/164520,https://www.mangaupdates.com/series/3hbigsw
l_Vjpvkq,Second Life Ranker,Reading,,,0000:00:00,"เกมชีวิตที่สอง ของแรงเกอร์,Ranker yang Hidup Dua Kali,Ранкер, который живёт второй раз,二度生きるランカー,두 번 사는 랭커,異界攻塔戰記,Ranker Who Lives A Second Time,The Ranker Who Lives Twice,SLR,Nido Ikiru Rankaa,Ranker Who Lives Twice,Rebirth of the Strongest Warrior,रैंकर जो दो बार जीता है,重生归来的战士,Du Beon Saneun Ranker",https://myanimelist.net/manga/147324,https://anilist.co/manga/109957,https://www.mangaupdates.com/series/154346
h2eLDLrK,Shiori Experience - Jimi na Watashi to Hen na Ojisan,Reading,,,0000:00:00,"시오리 익스페리언스,Shiori Experience: незаурядный Джими и заурядная Я,Досвід Шіорі ~Джимі, я і дивний дядько~,Shiori Experience,土气的我和奇怪的大叔,Shiori Experience - Jimi na Watashi to Hen na Oji-san,SHIORI EXPERIENCE　ジミなわたしとヘンなおじさん,シオリエクスペリエンス　ジミなわたしとヘンなおじさん,Shiori Experience: My Plain Self and an Odd Old Man",https://myanimelist.net/manga/87397,https://anilist.co/manga/86036,https://www.mangaupdates.com/series/104159
yDm32aOJ,The Beginning After the End,Reading,,207,2025-43-02,"O começo após o final,O começo depois do fim,TBATE,三岁开始做王者,最強の王様、二度目の人生は何をする？,끝이 아닌 시작,Начало после конца,El comienzo después del fin,آغاز پس از پایان,সমাপ্তির পর সূচনা,Початок після кінця,La Vida Después de la Muerte,Oxiridan Keyingi Boshlanish",,,https://www.mangaupdates.com/series/rwg23en
xui1JrAT,Vinland Saga,Reading,,,0000:00:00,"Saga Winlandzka,Сага про Вінланд,ヴィンランド・サガ,Vinland Destanı,Сага о Винланде,海盜戰記,海盗战记,ヴィンランド サガ,وِنلینڈ ساگا,Винланд дастаны,فينلاند ساغا,Vinrando Saga",https://myanimelist.net/manga/642,https://anilist.co/manga/30642,https://www.mangaupdates.com/series/1568
pkgCDo2N,VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,Reading,,,0000:00:00,"Витубер: история о том, как я забыла выключить стрим и стала легендой,VTuberなんだが配信切り忘れたら伝説になってた,VTuber nanda ga Haishin Kiri Wasuretara Densetsu ni Natteta,VTuber Legend,VTuber Nanda ga Haishin Kiri Wasuretara Densetsu ni Natteta",https://myanimelist.net/manga/162253,https://anilist.co/manga/167746,https://www.mangaupdates.com/series/i19h1jq
Gxew7BlJ,Wandance,Reading,,,0000:00:00,"Wondance,ワンダンス,Wandansu,绝妙舞步,원댄스",https://myanimelist.net/manga/127120,https://anilist.co/manga/107321,https://www.mangaupdates.com/series/157603
mD81wRVm,Wind Breaker,Reading,,,0000:00:00,"Windbreaker,Ветролом,ウィンドブレイカー,Wind Breaker",https://myanimelist.net/manga/133081,https://anilist.co/manga/135083,https://www.mangaupdates.com/series/174532
ryXrffFw,"Sekai Saikyou no Assassin, Isekai Kizoku ni Tensei Suru",Reading,,,0000:00:00,"世界最高の暗殺者、異世界貴族に転生する,世界頂尖的暗殺者轉生為異世界貴族,Лучший в мире ассасин, переродившийся в другом мире как аристократ,Le meilleur assassin, réincarné en un aristocrate dans un autre monde,Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru,The World's Finest Assassin Gets Reincarnated in Another World,Ansatsu Kizoku,The World's Best Assassin, Reincarnated in a Different World as an Aristocrat,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,สุดยอดมือสังหาร อวตารมาต่างโลก,暗殺貴族,Sát Thủ Đệ Nhất Thế Giới Chuyển Sinh Thành Quý Tộc Ở Thế Giới Khác,世界最強暗殺者轉生成異世界貴族,세계 최강의 암살자, 이세계 귀족으로 전생한다",https://myanimelist.net/manga/117886,https://anilist.co/manga/107603,https://www.mangaupdates.com/series/152574
7I9Ts58U,"Myst, Might, Mayhem",Reading,,63,2025-01-27,"El Dios Caótico de Fuerza Extraordinaria,괴력 난신,The Chaotic God of Extraordinary Strength,怪力乱神 (僩㳞月夜),Quái Lực Loạn Thần,Deus do Caos Todo-Poderoso,ลับลางลวง,怪力乱神～血に染まった本性～,Goeryeok Nansin,Monarca del Caos,El Dios caótico de la fuerza extraordinaria,怪力亂神,Myst Might Mayhem,怪力 亂神,An Awesome Power",https://myanimelist.net/manga/168980,https://anilist.co/manga/175946,https://www.mangaupdates.com/series/ulhdzmu
0bSTPLe5,Dance Dance Danseur,Reading,,,0000:00:00,"Danse Danse Danseur,دانس دانس دانسور,댄스 댄스 당쇠르,舞动不止,舞動不止,ダンス・ダンス・ダンスール,Танцуй, Танцуй, Танцор",https://myanimelist.net/manga/97063,https://anilist.co/manga/112905,https://www.mangaupdates.com/series/125939
qJKJZqYg,The Knight Who Only Lives Today,Reading,,66,2025-30-16,"Oneulman Saneun Gisa,The Knight Only Lives Today,A Knight Who Eternally Regresses,Der Ritter lebt nur heute,O cavaleiro em eterna regressão,Caballero en eterna regresión,อัศวินวันเดียว,死に戻り騎士は今日も生きる,只活今天的轮回骑士,今日騎士,Powracający Rycerz,The Knight Only Lives Today,오늘만 사는 기사,Eternally Regressing Knight,Le chevalier qui ne vit qu'aujourd'hui",https://myanimelist.net/manga/170427,https://anilist.co/manga/177706,https://www.mangaupdates.com/series/gcls85m
JQlkhT3N,The Villain Wants to Live,Reading,,25,2025-33-03,"악당은 살고 싶다 (악살싶),악당은 살고 싶다,反派也想活下去,악당은 살고 싶다 (악살싶),A Villain's Will to Survive,Đại Phản Diện Khao Khát Được Sống",https://myanimelist.net/manga/179465,https://anilist.co/manga/187427,https://www.mangaupdates.com/series/ohp9w7h
KY6nFMMV,The Necromancer Family's Young Heir,Reading,,15,2025-00-03,"Saryeong Gamunui Eorin Gaju,사령 가문의 어린 가주,The Necromancer Family's Young Heir,死靈家族的少家主,El joven heredero de la familia de nigromantes,The Necromancer Family’s Young Heir,死靈家族的少家主,사령 가문의 어린 가주",https://myanimelist.net/manga/179235,https://anilist.co/manga/187242,https://www.mangaupdates.com/series/qzqpezy
6ndUfH3_,I'm Not the Villain,Reading,,24,2025-33-03,"저는 악당이 아닙니다,I Won't Be the VIllain,俺は悪党ではありません,Ore wa Akutou de wa Arimasen,I Won't Be the Villain",,,https://www.mangaupdates.com/series/kiqyq21
5btn4vS6,"Sekai Saikyou no Kishi wa, Kanarazu Shinu Heroine wo Sukuu Tame Isekai Demo Saikyou no Kishi to Naru ~Ryoutei ni Hana wo, Ryoute ni Ken wo~",Reading,,10,2025-33-03,"现实世界最强的骑士，为了拯救注定会死去的女主角,世界最強の騎士は、必ず死ぬヒロインを救うため異世界でも最強の騎士となる ～両手に花を、両手に剣を～,The Strongest Knight in the World, in an Attempt to Save the Heroines Who Were Destined to Die, Decided to Become the Strongest in Another World as Well: Flowers in Both Hands, Swords in Both Hands,Sekai Saikyou no Kishi wa, Kanarazu Shinu Heroine wo Sukuu Tame Isekai Demo Saikyou no Kishi to Naru,The Strongest Knight in the World, in an Attempt to Save the Heroines Who Were Destined to Die, Decided to Become the Strongest in Another World as Well ~Flowers in Both Hands, Swords in Both Hands~,Sekai Saikyou no Kishi wa, Kanarazu Shinu Heroine wo Sukuu Tame Isekai Demo Saikyou no Kishi to Naru - Ryoutei ni Hana wo, Ryoute ni Ken wo,Kỵ sĩ mạnh nhất thế giới, để cứu nữ chính luôn phải chết, đã trở thành kỵ sĩ mạnh nhất ở dị giới",https://myanimelist.net/manga/177900,https://anilist.co/manga/179267,https://www.mangaupdates.com/series/58fa8ei
TMjJeGY6,"Food Truck ""Deli-joy"" - Shasou Kara Isekai e Umaimono Mitsuyu Hanbaichuu!",Reading,,9,2025-33-18,"Kitchen Car ""Deli-joy"" - Shasou Kara Isekai e Umaimono Mitsuyu Hanbaichuu!,Kitchen Car ""Deli-joy"" -Shasou Kara Isekai e Umaimono Mitsuyu Hanbaichuu!-,Kitchen Car Deli-joy,Kitchen Car ""Deli-joy"" -Shasou Kara Isekai e Umaimono Mitsuyu Hanbaichuu!-,Kitchen Car Deli-joy,Food Truck ""Deli-joy"": Smuggling and Selling Delicious Food to Another World from My Food Truck Window!,キッチンカー『デリ・ジョイ』―車窓から異世界へ美味いもの密輸販売中！―",https://myanimelist.net/manga/179439,,https://www.mangaupdates.com/series/m20dmqd
LIX3puAR,"Boukun Koushaku, Host ni Tensei",Reading,,9,2025-29-03,"暴君公爵、ホストに転生,The Tyrant Duke Reincarnated as a Host",,,https://www.mangaupdates.com/series/sdjcw89
