title,md_id,markable,marked,missing
I'll Save This Damned Family!,8cbaf5f6-b69e-40ad-9ca0-be13a2cf2373,0,0,unknown
Dungeon ni Deai wo Motomeru no wa Machigatte Iru Darou ka,8b459a49-b40f-4614-90a2-dc0a9209a42f,0,0,unknown
"Doctor, Live Again",8acdc047-6c6b-4603-8ee9-55f03421fceb,0,0,unknown
Virtues of the Villainess,7b2fd6d4-1bf1-43d5-99bf-73fff7410bdc,0,0,unknown
Kikanshita Yuusha no Gojitsudan,84f193ec-e731-4bd4-bcb5-09e85dca3ebc,0,0,unknown
"As You Like It, Margrave",8536360b-a527-4c3c-88ff-7c52a0f212ab,0,0,unknown
"Saijaku Boukensha ga ""Kanzen Drop"" de Gendai Saikyou: Jibun dake no Rare Skill to Custom Ability Kushishite Hokano Dare yori Tsuyokunaru!",853d1712-c76d-413e-8c42-4915362be3f9,0,0,unknown
The Lady Needs a Break,7aca4aea-face-4058-9cab-42fdc52e8367,0,0,unknown
Kimi wa Shinenai Hai Kaburi no Majo,7c145eaf-1037-48cb-b6ba-f259103b05ea,0,0,unknown
Gokushufudou: The Way of the House Husband,89daf9dc-075a-4aa5-873a-cc76bb287108,0,0,unknown
Henkyou no Roukishi - Bard Loen,7e64a45c-c6b2-4983-9694-7d13509a5751,0,0,unknown
Kenja no Mago,835feda4-2db0-4753-8249-4575a3ceffe2,0,0,unknown
Beware the Villainess!,85b51b37-0ce6-4144-a19b-6b064bc2c2ae,0,0,unknown
Berserk,801513ba-a712-498c-8f57-cae55b38cc92,0,0,unknown
Satan's Bride,99eac5ce-ea52-482e-9915-993ae906f7c0,0,0,unknown
The Knight and Her Emperor,9d9041cc-6f82-403a-b0c9-aca68ce76bc2,0,0,unknown
I Think I'll Cheat to Become a Spellsword in Another World,9c4f1b25-c224-4346-990a-f18c77f4ab9e,0,0,unknown
Boys Run the Riot,a1f64c4f-2b89-4cc9-a9ec-5f3f25cff946,0,0,unknown
Lord Baby Runs a Romance Fantasy With Cash,8dafd1ee-f5d4-4119-b287-e8963b1b34a3,0,0,unknown
Beatrice,8f66ebd9-e17f-4d70-9814-a4ebf1e1d453,0,0,unknown
4 Cut Hero,9585b6ff-7834-4e71-b47c-5a6c1440efb6,0,0,unknown
Manuke na FPS Player ga Isekai e Ochita Baai,958e98b6-c63c-4309-b912-d91a0c9f12e1,0,0,unknown
The Legend of the Northern Blade,9ed16bc9-f570-4e71-8dda-aebc098b683b,0,0,unknown
Logging in as a Monster,a1d8ce85-ac83-4604-afea-390757564115,0,0,unknown
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,94b85b77-a2a9-4ffb-bb5e-c3bfa6a3c48d,0,0,unknown
Maiden of the Needle,962ed908-bc1b-4592-a08d-63c2ed82132c,0,0,unknown
The Heroine of Drayfox,b055038b-fb73-4d1d-b2fa-57fbf28d1e1d,0,0,unknown
"Minus Skill-mochi Yonin ga Atsumattara, Nanka Synergy Hakki Shite Saikyou Party ga Dekita Ken",a9e23d07-b293-4530-b592-e97880c8101f,0,0,unknown
Einen Koyou wa Kanou deshou ka,a500b8f7-5aa4-4bec-bf42-ba9a95af8997,0,0,unknown
Gosu,aea1aa8b-0dd7-4d32-852d-56aaf36af4e3,0,0,unknown
The Villainess' Days Are Numbered!,ad098069-94ba-4c1f-8954-69f832234aab,0,0,unknown
The Demon Faction's Return,ad84e944-a533-4c56-aedb-4f1e44e285a4,0,0,unknown
Revenge on the Real One,a8c7db6f-6151-445c-bbad-70b1341580f0,0,0,unknown
The Perks of Being an S-Class Heroine,a7ecd60e-24d3-4e26-9e7a-0c5792b92a67,0,0,unknown
The NPCs in this Village Sim Game Must Be Real!,ab42e764-fb01-40f4-b961-751343902e7e,0,0,unknown
The Wizard is Poor,b0c5fe89-fbd1-4f22-89cc-efaad4f13ee5,0,0,unknown
Foreigner on the Periphery,ab481ba5-fcc7-4f92-863f-341e22cbc041,0,0,unknown
The Tyrant's Sister,b235fc97-4966-46c2-8c51-90d4fa4e6c3f,0,0,unknown
The Player Who Can't Level Up,a796fb50-cdc9-4c15-a48d-bc1d733d89b2,0,0,unknown
Circle Zero's Otherworldly Hero Business: Reboot,b145fa37-e63a-4c1c-a1b8-dc2d3e2ef351,0,0,unknown
Remarried Empress,ac6819d8-de35-442c-82dd-3444983d4f26,0,0,unknown
Overlord,ac4e2459-d995-45ae-8421-4c4cf4a87770,0,0,unknown
Sono Bisque Doll wa Koi wo Suru,aa6c76f7-5f5f-46b6-a800-911145f81b9b,0,0,unknown
Sousou no Frieren,b0b721ff-c388-4486-aa0f-c2b0bb321512,0,0,unknown
My Daughter Is the Final Boss,a4a4250d-14a0-4b45-83ac-c732091b4eba,0,0,unknown
"Strongest Swordsman’s Magic Training: Reincarnated with Level 99 Stats, He Gets to Start Over from Level 1",c0e3b5a0-e3f6-4f61-ade2-829737e8bf78,0,0,unknown
The Returning Hero's Restaurant,c594bf4f-db52-43bf-931b-7459cc7ccdd5,0,0,unknown
Second life of a Gangster,b7a5aa6a-00e7-4187-8eb3-86525933abf2,0,0,unknown
The Advanced Player of the Tutorial Tower,b847ca8b-1b14-4780-98eb-10049467bc03,0,0,unknown
"Sekai Saikyou no Assassin, Isekai Kizoku ni Tensei Suru",b49fd121-19bf-4344-a8e1-d1be7ca04e08,0,0,unknown
Kinka 1-mai de Kawaru Boukensha Seikatsu,baf680e9-07b2-40df-a737-0852f912f0bf,0,0,unknown
The Grand Mudang Saga,bdf9539e-c5f0-4ac1-b893-d862f1e83a53,0,0,unknown
Success Story Of The Omnipotent Soldier,b54e52dc-101d-40eb-ab01-8a6722743cf4,0,0,unknown
Beware of the Brothers!,b4c3330a-5dd8-4b68-b370-02d930706abb,0,0,unknown
Princess in the Rough,b62971df-0e2b-4d37-bc82-821efa10e2e1,0,0,unknown
"Tensei Shitara Dainana Ouji datta no de, Kimama ni Majutsu wo Kiwamemasu",b5c415a8-2af4-44cd-8b2e-edb23800e2c8,0,0,unknown
Life and Death: The Awakening,b90f2953-d492-44cd-aee4-a7e4ab357b45,0,0,unknown
The Invincible Deadbeat,c0bc7e39-fac3-44b9-8813-9d3cbf78ff1f,0,0,unknown
Knight Under My Heart,b7f2cd24-b217-4d06-906b-f311c8244178,0,0,unknown
Bowblade Spirit,c235406f-8e2d-4215-a351-265461fc6448,0,0,unknown
Dr. Kim of London,b51f74ac-08e5-40ce-84ab-595df194ba86,0,0,unknown
"Her Tiny Highness, the Mastermind",b8e1a2bd-209d-4c89-8499-4fa8a3b3fe76,0,0,unknown
Empress Cesia Wears Knickerbockers,b459714e-df88-4e6c-8166-f71721310475,0,0,unknown
I Woke Up as the Villain,bd757d3a-694e-49c3-b6da-d033265fe843,0,0,unknown
Margrave’s Bastard Son was The Emperor,bddba5ae-d308-4434-95fa-67dee73f5626,0,0,unknown
How to Use a Returner,bd1bf883-c7d4-4f4d-857c-29e2470cb693,0,0,unknown
Farmer of Spirits,c615f226-4608-4a12-a340-a974e2a429dd,0,0,unknown
Heterogenia Linguistico: An Introduction to Interspecies Linguistics,bd29a3d0-9551-45e3-b1ac-941214e535b5,0,0,unknown
The Max Level Hero Strikes Back,b407de00-75a5-415a-a001-585fb41b9cf2,0,0,unknown
The World's Best Sect of Dependency,d0eba5f7-3ad9-4e34-9f02-fcb91bc4ee44,0,0,unknown
100-Year-Old Top Chef,cbbc2c85-1759-42db-9147-4c73ea7d2903,0,0,unknown
Sierra on Strike!,d36920a4-4984-4b0c-9524-8e575bd3c364,0,0,unknown
Is This Hero for Real?,c6db0d4c-a0e0-401a-8503-3c84ce30e346,0,0,unknown
Saikyou Yuusha wa Oharai Hako: Maou ni Nattara Zutto Ore no Musou Return,ce99d328-9b40-4d29-b85d-96cca97f8cb1,0,0,unknown
Arcane Sniper,cbf53f02-9594-42e7-9dbf-8ae1c783466f,0,0,unknown
Shiryou Jutsushi no Otetsudai,cb5271a0-c0b0-4c1a-be12-e84638cfe7bb,0,0,unknown
"Sen wa, Boku o Egaku",c7b6d9ca-dce7-4dab-8ed0-b246d808ec2a,0,0,unknown
How a Mage Welcomes Death,cb451f3d-8b0a-4742-9366-1b0954ee1a30,0,0,unknown
"Shi ni Modori, Subete wo Sukuu Tame ni Saikyou he to Itaru",c9bed72c-d680-4409-a954-5fdadde27b74,0,0,unknown
Chitra,c8093355-1ea5-4fa6-a452-cc4da82704cf,0,0,unknown
Yuusha ga Shinda!,d0c3d778-d28d-4e3a-be75-d92149438fff,0,0,unknown
"Sono Munou, Jitsu wa Sekai Saikyou no Mahoutsukai ~Munou to Sagesumare, Kizokuka kara Oidasareta ga, Gift ""Tenseisha"" ga Kakusei shite Zense no Nouryoku ga Yomigaetta~",d21e52cf-50f1-48c7-8de7-69f280c05be4,0,0,unknown
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,cbcf5051-74a0-4b93-b99c-1a6975f1bef9,0,0,unknown
Legend of an Asura - The Poison Dragon,d48ca65b-996a-42dd-87be-a47029a49985,0,0,unknown
How to Fight,d2df017b-c003-4de6-9625-4f1fba7aef97,0,0,unknown
"Monster ga Afureru Sekai ni Natta Node, Suki ni Ikitai to Omoimasu",c7350fb7-ec94-4026-b021-eb50c9b103b2,0,0,unknown
Return to Player,cac1a74c-0b5f-498a-8472-05f0636e1b4d,0,0,unknown
"Falling Flower, Flowing Water",d3418314-9389-4ffc-a976-13d9ebba6546,0,0,unknown
Magical Shooting: Sniper of Steel,d39b8aa7-b90e-4648-a67b-59218fb47b77,0,0,unknown
The Little Landlady,c839a78e-9df2-43ee-b2b7-47116839b330,0,0,unknown
Aideen,c88f84bc-cf96-49b0-a7df-8c62c2b5c1f8,0,0,unknown
"Ore no ""Kantei"" Skill ga Cheat Sugite: Densetsu no Yuusha o Yomi ""Tori"" Saikyou e",c96fd0f0-603b-4a09-a589-32a7e14e0936,0,0,unknown
Barbarian Quest,cb114a5d-56ed-4288-a2ab-671a9d9702c4,0,0,unknown
Bokutachi no Remake,d381ddae-cd50-4259-9cc6-0fc1cb194a4b,0,0,unknown
Battle Angel Alita: Mars Chronicle,e6109f9b-c393-4c71-84f8-10e978265cae,0,0,unknown
Elf to Shuryoushi no Item Koubou,e0f2c98b-759d-4a86-8a73-7ed110eb32e3,0,0,unknown
The Raider,e69372f7-faa5-49dd-a9ba-8c7021f5e986,0,0,unknown
Caught by the Villain,d80322ff-3923-48ee-b823-0e9dda3aa8c2,0,0,unknown
Necromance,e97d4b6e-c232-4f27-b2c4-3131eafdc8fe,0,0,unknown
Taiga of Genesis,e710f350-93a6-47fc-af29-7c5e0fcdc1f0,0,0,unknown
The Archmage's Daughter,e0ec499a-e42a-4674-9fb7-e12f6d3e5b3c,0,0,unknown
The Great Wish,e1b030d8-be39-4eea-a677-01e3d5d9846f,0,0,unknown
One Punch-Man,d8a959f7-648e-4c8d-8f23-f1f3f8e129f3,0,0,unknown
The Gamer,e499ff53-68d3-4c1a-8dbf-3cea42fca501,0,0,unknown
Medical Top Surgeon,da847ab1-5263-487f-b237-f199eb59ff72,0,0,unknown
Daisy: How to Become the Duke's Fiancée,df802fbf-9149-460a-aa17-0fc2b3ebe44b,0,0,unknown
The Twins' New Life,e4d4eef1-3d4f-4d52-9044-31e46016dc77,0,0,unknown
Black Clover,e7eabe96-aa17-476f-b431-2497d5e9d060,0,0,unknown
Hood,e7bc63e3-6c25-4162-887a-0002e997ad6d,0,0,unknown
It's My Destiny to Be Hero's Savior,dbcee2f0-2ea2-42ea-800d-7942e33840c8,0,0,unknown
Clockwork Planet,d928e368-51e2-4454-b076-e43b9666b221,0,0,unknown
"Kiwameta Heal ga Subete wo Iyasu! ~Mura de Muyou ni Natta Boku wa, Hirotta Gomi wo Geki Rare Item ni Shuuzenshite Nariagaru~",e95af20c-b008-47e8-b139-2295f9ff127b,0,0,unknown
Kizoku Tensei ~Megumareta Umare kara Saikyou no Chikara o Eru~,e54c384f-5163-4fdb-9909-968b8d0bd86a,0,0,unknown
Ojousama no Shimobe,ddb80900-12c2-4b9e-bfb7-cb8abc082f9a,0,0,unknown
The Inferior Magic Swordsman,e0a9e33b-6def-431b-87db-ae2b26a501a0,0,0,unknown
Kusuriya no Hitorigoto,e18fe8c6-f6dc-4f05-8462-7b2083ff9a6c,0,0,unknown
Dungeon Meshi,d90ea6cb-7bc3-4d80-8af0-28557e6c4e17,0,0,unknown
Call Sign,f6963773-0a02-49b0-9923-fd506efa7bb5,0,0,unknown
Powerless,f2f62a65-5e24-4f8c-a257-c88627b999c5,0,0,unknown
I Raise Skeletons,f4a68da3-4bb8-44e7-be8b-ffce9aa779be,0,0,unknown
The Scholar's Reincarnation,f2cb9465-c314-46a3-97fd-05210d3af0a7,0,0,unknown
The Alexis Empire Chronicle,f009952b-e572-4a2b-bfcf-31fc804afa4d,0,0,unknown
Gensou Gourmet,ede48b14-8d83-41cb-9559-c7d859fd23fc,0,0,unknown
Jishou! Heibon Mazoku no Eiyuu Life: B-kyuu Mazoku na no ni Cheat Dungeon o Tsukutteshimatta Kekka,f71e7fcf-a399-4fb6-8d59-86abae08baf8,0,0,unknown
Historié,fa3b04d5-399f-4c92-80b9-a43f413ea932,0,0,unknown
Kono Kuni wa Mou Owari da yo:  Nihon Dasshutsu Shite Isekai de Yarinaosu,f09db8e6-a4b8-4dde-b99e-ff4b9e7d6ee6,0,0,unknown
Blue Period,f8e294c0-7c11-4c66-bdd7-4e25df52bf69,0,0,unknown
This Mage Desires Mediocrity!,fbbb8f9c-fe5f-4df8-b1c2-cdfd955ee97a,0,0,unknown
1 Second,ebcad9db-8ee9-4ec8-a054-8a4b866c0e31,0,0,unknown
Ubau Mono Ubawareru Mono,ed95d175-0e50-4315-8044-3dccbcd63748,0,0,unknown
Evil Knight,f8e5281b-4712-4443-b20f-4d90eff1e41f,0,0,unknown
The Rewards of Marriage,ea8c66d2-5953-40fe-ba22-3b2ab3e95d00,0,0,unknown
Princess Jellyfish,f84b86f6-4aec-453c-a0b5-9c87879723eb,0,0,unknown
I Tamed a Tyrant and Ran Away,f3b20d87-847d-4c51-84e5-ce9886693c85,0,0,unknown
"The Strongest Wizard Making Full Use of the Strategy Guide -No Taking Orders, I’ll Slay the Demon King My Own Way-",f903876b-bfcf-43d3-82f6-ebe03eef9260,0,0,unknown
Isekai Kenkokuki,ec8f26f4-bc9f-43b6-93ec-60a05638fca0,0,0,unknown
A Common Story of a Lady's New Life,f2f161df-63f3-4bef-bc54-c97159223b1e,0,0,unknown
To the Abandoned Sacred Beasts,fb4cf7c6-aff3-44c2-9f9d-8cca42b3db46,0,0,unknown
Roxana,efebd0bc-eb88-477c-bcc3-90413395a2a3,0,0,unknown
My Secretly Hot Husband,f6ade1c3-a117-4b93-b70d-9fab0ea59647,0,0,unknown
The Villainess Lives Again,ec96fc62-975a-4abf-83e3-d2426ca8fbe6,0,0,unknown
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,eb26ab13-148d-48e1-bff4-dcf59c4986a0,0,0,unknown
Mr. Magical Girl,fa8936b6-52f2-4392-a3ad-fc17a19a796d,0,0,unknown
I'm Destined to Greatness!,fc84b02b-3b16-40af-89a5-a5f849f20721,0,0,unknown
Saving the Doomed Idols with My Touch,fed92b3a-77e9-4566-bca2-46392463b94e,0,0,unknown
Nido Tensei shita Shounen wa S-Rank Boukensha Toshite Heion ni Sugosu ~Zense ga Kenja de Eiyuu Datta Boku wa Raise dewa Jimi ni Ikiru~,fe9dfd8c-89e3-49c4-8c71-f5185d519900,0,0,unknown
"Tensei Kizoku, Kantei Skill de Nariagaru ~Jakushou Ryouchi wo Uketsuida node, Yuushuu na Jinzai wo Fuyashiteitara, Saikyou Ryouchi ni Natteta~",fef2e4da-36f9-48e9-8317-2516f4b6ab14,0,0,unknown
Hyouken no Majutsushi ga Sekai o Suberu,fcfb3ec9-147f-4d43-aaea-3a73f42c8318,0,0,unknown
The Archmage Returns After 4000 Years,ff14c29a-3456-4047-828d-10c9671cac4c,0,0,unknown
Genius Idol's Celebrity Strategy,fc4d6592-9c1e-4ae9-8cf8-29d3fff6ba86,0,0,unknown
A Wicked Tale of Cinderella's Stepmom,fdaa7d42-29bb-4cf2-b635-96d57732f1be,0,0,unknown
