title,md_id,markable,marked,missing
Spider-Man: Fake Red,1205e6aa-dc67-4a96-b8e6-18cf22a307aa,0,0,unknown
The Worn and Torn Newbie,1e998205-8c48-4e27-b82b-a01b2d3b1f52,0,0,unknown
"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",14677fdb-7b5f-4178-9775-dc3e11752f0f,0,0,unknown
Runway de Waratte,1d4e3c56-3e9f-4a50-a9ed-417fb87f1911,0,0,unknown
"Yowai 5000-nen no Soushoku Dragon, Iware naki Jaryuu Nintei: Yada Kono Ikenie, Hito no Hanashi wo Kiite Kurenai",12968534-b5e3-40df-9daf-a939f5586b16,7,0,1
"Rakudai Kenja no Gakuin Musou: Nidome no Tensei, S-Rank Cheat Majutsushi Boukenroku",18f3e34b-2bad-4e35-8ea6-a0cbae52f76b,0,0,unknown
Izure Saikyou no Renkinjutsushi?,17b4a134-65a5-4ba9-851e-9cc824755bf5,37,0,5
Priscilla's Marriage Request,19504a6d-084c-4c6b-9cdf-b5296b1214e2,0,0,unknown
Tensei Akuma no Saikyou Yuusha Ikusei Keikaku,17eebcc7-d993-446c-84be-c222bfb27794,7,0,7
What Kind of Empress Is This?,1b7ebe0a-19df-4186-8d2e-c9cbeb1283a5,0,0,unknown
Grudge-laden Lackey,180384d3-4f4a-4a98-8aad-9d98034d71d6,24,0,3
Executioner,21372c99-de16-4345-8223-10fd61b1c0fa,6,0,1
The First Hunter,1524e770-4d25-4818-b4c7-c5399dc94049,0,0,20
Welcome to the Ballroom,127d4af7-4062-45ec-afb7-b8cf33deb3db,78,0,1
Solo Resurrection,14773caf-e1f6-4a08-922f-66b5bd47424a,0,0,34
Lout of Count's Family,1dc3ebf9-c86c-431c-bcca-5e35ac124f28,2,0,24
Kiwamete Goumantaru Akuyaku Kizoku no Shogyou,1262ecb7-d056-4e87-ae1a-f8fcde4efa4d,0,0,1
God of Blackfield,1a008e7e-0885-4830-92c6-16b3bbe4f5d4,0,0,63
The Misfit of Demon King Academy,14a75df9-07d2-4181-acc0-5693be1aeb3e,0,0,unknown
"The Weakest Occupation ""Blacksmith,"" but It's Actually the Strongest",17b3b648-fd89-4a69-9a42-6068ffbfa7a7,0,0,unknown
I Guess I Became the Mother of the Great Demon King's 10 Children in Another World,1d44fa52-e344-42bd-9182-7b5887e1fe2c,0,0,unknown
Villains Are Destined to Die,14569f2f-f66a-4c67-ac7f-a37823a0fa23,0,0,unknown
The Exiled Hero,1fc6c562-b70c-4f6a-ac23-af657a2c49ab,38,0,1
"Shijou Saikyou no Mahou Kenshi, F Rank Boukensha ni Tensei Suru ~Kensei to Matei, 2 Tsu no Zense wo motta Otoko no Eiyuutan~",1b0c80ec-c8db-43c1-840c-6d126c78d09f,108,0,13
My Death Flags Show No Sign of Ending,16dcfceb-4382-45f1-adb0-d57fc5ea0d06,81,0,6
The Edgeless Sword From the Village,224b4ac7-add1-49df-b0b1-0d98dc71b91a,0,0,unknown
Golden Print,26fd7925-f4d7-43af-bcc3-19d93677975a,0,0,32
The Millionaire Divorcee,2e935ea8-3a85-4f8e-bd78-3fa8974f6977,0,0,unknown
The Tyrant's Guardian Is an Evil Witch,256c04c1-3575-44c9-9b02-e9d593a6b86d,0,0,unknown
Read to Level Up,24af0628-fe13-4d9d-844d-339717e09868,117,0,3
For Better or For Worse,2d0d55b1-1c35-4f99-965d-7665e5b9c415,0,0,unknown
Just Leave Me Be,25c7badb-1c8c-4b96-a7dc-cb55f2ad86e4,0,0,19
Rookie but One-in-a-Million Actor,2c33f5d0-e900-44b7-b560-877e834a9cc9,24,0,9
Her Summon,27b5a8ba-818c-413f-9b50-ef74e4cbf62c,0,0,unknown
Boushoku no Berserk: Ore dake Level to Iu Gainen wo Toppa suru the Comic,30196491-8fc2-4961-8886-a58f898b1b3e,31,0,4
"Ikusei Skill wa Mou Iranai to Yuusha Party o Kaiko Sareta no de, Taishokukin-gawari ni Moratta ""Ryouchi"" o Tsuyoku Shite Miru",2436b0ca-e68f-49b1-babe-3e41910b81c2,0,0,unknown
Solo Leveling,32d76d19-8a05-4db0-9fc2-e0b0648fe9d0,0,0,unknown
